ds,trend,yhat_lower,yhat_upper,yhat
2022-05-25,5848.79707960345,5711.585807497448,6313.321867536103,6017.588931859162
2022-05-26,5858.240034642785,5694.910656272071,6291.5011810569,6003.51271396314
2022-05-27,5867.682989682116,5655.694784211619,6306.014963329859,5991.931428143872
2022-05-28,5877.125944721452,5671.609675164257,6317.314317022719,5989.461287478221
2022-05-29,5886.568899760785,5662.9250121841715,6301.241983274831,5988.052216339659
2022-05-30,5896.011854800117,5638.806575996563,6305.609083558623,5981.693833281478
2022-05-31,5905.454809839451,5651.998584017767,6274.752530260824,5975.805011993367
2022-06-01,5914.897764878786,5659.2628283326085,6294.78168812773,5977.20689073361
2022-06-02,5924.340719918117,5651.67293364208,6276.674910853086,5970.5868143204425
2022-06-03,5933.783674957453,5641.419027177436,6298.484423793338,5966.855716700056
2022-06-04,5943.226629996783,5644.098176886194,6285.8736718910095,5972.426362899325
2022-06-05,5952.669585036119,5662.346285002604,6276.537073347927,5979.051112580541
2022-06-06,5962.1125400754545,5640.496689488306,6294.65568130778,5980.53221667389
2022-06-07,5971.555495114785,5640.2990641834185,6300.2729378665,5982.11531963
2022-06-08,5980.9984501541185,5662.05298355143,6310.265074487192,5990.46595230395
2022-06-09,5990.441405193454,5665.2764802473575,6290.809676320449,5990.136427915289
2022-06-10,5999.884360232785,5675.888909664655,6317.936272553792,5991.925592717772
2022-06-11,6009.32731527212,5691.744772493213,6320.595049694935,6002.15881012242
2022-06-12,6018.7702703114555,5667.130013538753,6343.838352781337,6012.52681735153
2022-06-13,6028.213225350787,5672.642765968725,6351.069145918695,6016.79646002506
2022-06-14,6037.656180390122,5675.726459892525,6345.352140892066,6020.203987897544
2022-06-15,6047.099135429456,5712.745484671284,6364.997337002685,6029.430723425793
2022-06-16,6056.542090468788,5708.453557151915,6358.325037156448,6029.068557116969
2022-06-17,6065.985045508121,5674.555878061662,6345.428125542183,6029.97777610044
2022-06-18,6075.4280005474575,5716.025510386964,6367.138609583085,6038.564670945644
2022-06-19,6084.870955586788,5738.298755756704,6371.488639199687,6046.617635452796
2022-06-20,6094.313910626123,5717.3879635241765,6374.744332001066,6048.014847550985
2022-06-21,6103.756865665455,5726.492354520078,6401.663375596178,6048.114301927988
2022-06-22,6113.19982070479,5695.765103025462,6406.916840312783,6053.726095688502
2022-06-23,6122.642775744125,5738.282274808419,6388.779473324522,6049.57451036668
2022-06-24,6132.085730783456,5734.753056680942,6379.274122397555,6046.6524835112405
2022-06-25,6141.528685822789,5711.528826268399,6384.869441947934,6051.495996816685
2022-06-26,6150.971640862124,5710.229081855074,6385.806430085595,6056.017170646798
2022-06-27,6160.414595901456,5702.104986360574,6409.457201211827,6054.209219607097
2022-06-28,6169.857550940791,5730.465771092861,6382.42690799831,6051.534096258224
2022-06-29,6179.300505980126,5686.815977746652,6387.933230938734,6054.892769538798
2022-06-30,6188.743461019458,5703.968341953581,6371.898821213527,6049.085714518591
